Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_129_431,VPWR,li1,204.2400,361.7600,1.798002
FILLER_129_402,VPWR,li1,190.9000,361.7600,1.798542
FILLER_129_391,VPWR,li1,185.6100,361.7600,1.798815
FILLER_129_368,VPWR,li1,175.2600,361.7600,1.799320
FILLER_129_340,VPWR,li1,162.3800,361.7600,1.799107
FILLER_129_337,VPWR,li1,161.2300,361.7600,1.799107
FILLER_129_281,VPWR,li1,135.0100,361.7600,1.798835
FILLER_129_278,VPWR,li1,133.8600,361.7600,1.798837
FILLER_129_275,VPWR,li1,132.7100,361.7600,1.798837
FILLER_129_272,VPWR,li1,131.3300,361.7600,1.798838
FILLER_129_269,VPWR,li1,129.9500,361.7600,1.798840
FILLER_129_266,VPWR,li1,128.5700,361.7600,1.798840
FILLER_129_263,VPWR,li1,127.1900,361.7600,1.798842
FILLER_129_260,VPWR,li1,125.8100,361.7600,1.798842
FILLER_129_243,VPWR,li1,117.5300,361.7600,1.798907
FILLER_129_240,VPWR,li1,116.6100,361.7600,1.798907
FILLER_129_237,VPWR,li1,115.2300,361.7600,1.798926
FILLER_129_234,VPWR,li1,113.8500,361.7600,1.798950
FILLER_129_231,VPWR,li1,112.4700,361.7600,1.798950
FILLER_129_228,VPWR,li1,111.0900,361.7600,1.798969
FILLER_129_225,VPWR,li1,109.7100,361.7600,1.798993
FILLER_129_223,VPWR,li1,108.3300,361.7600,1.798993
FILLER_129_220,VPWR,li1,107.4100,361.7600,1.799012
FILLER_129_217,VPWR,li1,106.0300,361.7600,1.799031
FILLER_129_214,VPWR,li1,104.6500,361.7600,1.799031
FILLER_129_211,VPWR,li1,103.2700,361.7600,1.799055
FILLER_129_208,VPWR,li1,101.8900,361.7600,1.799074
FILLER_129_205,VPWR,li1,100.5100,361.7600,1.799074
FILLER_129_202,VPWR,li1,99.1300,361.7600,1.799098
FILLER_129_199,VPWR,li1,97.7500,361.7600,1.799117
FILLER_129_196,VPWR,li1,96.3700,361.7600,1.799117
FILLER_129_193,VPWR,li1,94.9900,361.7600,1.799136
FILLER_129_190,VPWR,li1,93.6100,361.7600,1.799160
FILLER_129_187,VPWR,li1,92.2300,361.7600,1.799160
FILLER_129_184,VPWR,li1,90.8500,361.7600,1.799179
FILLER_129_181,VPWR,li1,89.4700,361.7600,1.799203
FILLER_129_178,VPWR,li1,88.0900,361.7600,1.799203
FILLER_129_175,VPWR,li1,86.7100,361.7600,1.799222
FILLER_129_172,VPWR,li1,85.3300,361.7600,1.799246
FILLER_129_169,VPWR,li1,83.9500,361.7600,1.799246
FILLER_129_167,VPWR,li1,82.5700,361.7600,1.799265
FILLER_129_164,VPWR,li1,81.6500,361.7600,1.799284
FILLER_129_161,VPWR,li1,80.2700,361.7600,1.799284
FILLER_129_158,VPWR,li1,78.8900,361.7600,1.799308
FILLER_129_155,VPWR,li1,77.5100,361.7600,1.799327
FILLER_129_152,VPWR,li1,76.1300,361.7600,1.799327
FILLER_129_149,VPWR,li1,74.7500,361.7600,1.799351
FILLER_129_146,VPWR,li1,73.3700,361.7600,1.799370
FILLER_129_143,VPWR,li1,71.9900,361.7600,1.799370
FILLER_129_140,VPWR,li1,70.6100,361.7600,1.799394
