net,length_um
_2634_,3.44µm
_2847_,3.44µm
_3143_,3.44µm
_3738_,3.44µm
_3797_,3.44µm
_4085_,3.44µm
_4226_,3.44µm
_4344_,3.44µm
_4355_,3.44µm
_4414_,3.44µm
_4482_,3.44µm
net461,3.44µm
net489,3.44µm
_0630_,3.42µm
_0953_,3.42µm
_1121_,3.42µm
_1132_,3.42µm
_1336_,3.42µm
_1445_,3.42µm
_1490_,3.42µm
_1804_,3.42µm
_1893_,3.42µm
net445,3.42µm
_2177_,3.42µm
_2595_,3.42µm
_2659_,3.42µm
_2712_,3.42µm
_2806_,3.42µm
_2841_,3.42µm
_3153_,3.42µm
_3221_,3.42µm
_3242_,3.42µm
_3609_,3.42µm
_3774_,3.42µm
_3795_,3.42µm
_3890_,3.42µm
_3922_,3.42µm
_3971_,3.42µm
_4017_,3.42µm
net861,3.42µm
net1026,3.42µm
_0344_,3.4µm
_3765_,3.4µm
_4203_,3.4µm
_4217_,3.4µm
_4221_,3.4µm
_1118_,3.38µm
_1131_,3.335µm
_3456_,3.32µm
_3731_,3.32µm
net1060,3.32µm
_1808_,3.31µm
_0081_,3.3µm
_0843_,3.3µm
_0964_,3.3µm
_1006_,3.3µm
_1011_,3.3µm
_1112_,3.3µm
_2056_,3.3µm
_2300_,3.3µm
_2406_,3.3µm
_2572_,3.3µm
_2870_,3.3µm
_3018_,3.3µm
_3200_,3.3µm
_3593_,3.3µm
_3908_,3.3µm
_3955_,3.3µm
_3963_,3.3µm
_4185_,3.3µm
_0133_,3.225µm
_0738_,3.22µm
_0982_,3.22µm
_1267_,3.22µm
_2053_,3.22µm
_2488_,3.22µm
_2544_,3.22µm
_2850_,3.22µm
_3503_,3.22µm
_3881_,3.22µm
_3992_,3.22µm
_4004_,3.22µm
_4056_,3.22µm
_4117_,3.22µm
net1114,3.22µm
net1125,3.22µm
net1132,3.22µm
_0010_,3.2µm
_0011_,3.2µm
_0028_,3.2µm
_0036_,3.2µm
_0046_,3.2µm
_0072_,3.2µm
_0087_,3.2µm
_0096_,3.2µm
_0113_,3.2µm
_0140_,3.2µm
_0142_,3.2µm
_0156_,3.2µm
_0199_,3.2µm
_0256_,3.2µm
_0270_,3.2µm
_0273_,3.2µm
_0285_,3.2µm
_0289_,3.2µm
_0293_,3.2µm
_0711_,3.2µm
_1025_,3.2µm
_1277_,3.2µm
_1953_,3.2µm
_2242_,3.2µm
_3676_,3.2µm
_3760_,3.2µm
_3767_,3.2µm
_3878_,3.2µm
_0608_,3.18µm
_0791_,3.18µm
_0854_,3.18µm
_0896_,3.18µm
_1105_,3.18µm
_1522_,3.18µm
_1610_,3.18µm
_2283_,3.18µm
_2319_,3.18µm
_2600_,3.18µm
_2757_,3.18µm
_3211_,3.18µm
_1564_,3.175µm
_4353_,3.13µm
_3981_,3.11µm
_0012_,3.1µm
_0060_,3.1µm
_0539_,3.1µm
_1229_,3.1µm
_1536_,3.1µm
_1800_,3.1µm
_1951_,3.1µm
_2827_,3.1µm
_3988_,3.1µm
_3991_,3.1µm
_0008_,3.08µm
_0042_,3.08µm
_0066_,3.08µm
_0070_,3.08µm
_0102_,3.08µm
_0108_,3.08µm
_0135_,3.08µm
_0217_,3.08µm
_0232_,3.08µm
_0245_,3.08µm
_0268_,3.08µm
_0305_,3.08µm
_0323_,3.08µm
_0780_,3.08µm
_0804_,3.08µm
_0968_,3.08µm
_0985_,3.08µm
_1081_,3.08µm
_1088_,3.08µm
_1496_,3.08µm
_1514_,3.08µm
_1583_,3.08µm
_1586_,3.08µm
_1793_,3.08µm
_1843_,3.08µm
_1849_,3.08µm
_1851_,3.08µm
_2031_,3.08µm
_2048_,3.08µm
_2074_,3.08µm
_2289_,3.08µm
_2715_,3.08µm
_2717_,3.08µm
_2874_,3.08µm
_2937_,3.08µm
_2956_,3.08µm
_3154_,3.08µm
_3230_,3.08µm
_3398_,3.08µm
_3448_,3.08µm
_3465_,3.08µm
_3667_,3.08µm
_3752_,3.08µm
_3781_,3.08µm
_3906_,3.08µm
_3911_,3.08µm
_3967_,3.08µm
_4003_,3.08µm
_4099_,3.08µm
_4110_,3.08µm
net822,3.08µm
net1183,3.08µm
_3638_,3.065µm
_1299_,3.06µm
_1440_,3.06µm
_2673_,3.06µm
_3234_,3.06µm
_3913_,3.06µm
_4069_,3.06µm
_4211_,3.06µm
_4220_,3.06µm
_4236_,3.06µm
_4263_,3.06µm
_4453_,3.06µm
_4455_,3.06µm
_4462_,3.06µm
_4489_,3.06µm
_4492_,3.06µm
_3596_,3.045µm
_1494_,3.03µm
_2569_,3.01µm
_0532_,2.995µm
_0330_,2.99µm
_4378_,2.99µm
_4390_,2.99µm
_4481_,2.99µm
_0510_,2.98µm
_1127_,2.98µm
_2255_,2.98µm
_3316_,2.98µm
_4060_,2.98µm
_4147_,2.98µm
_4350_,2.98µm
_4421_,2.98µm
_4449_,2.98µm
_4465_,2.98µm
_4480_,2.98µm
_4500_,2.98µm
net561,2.98µm
net583,2.98µm
_0101_,2.96µm
_0498_,2.96µm
_0515_,2.96µm
_0682_,2.96µm
_0717_,2.96µm
_0770_,2.96µm
_1019_,2.96µm
_1170_,2.96µm
_1322_,2.96µm
_1485_,2.96µm
_1540_,2.96µm
_1541_,2.96µm
_1708_,2.96µm
_1828_,2.96µm
_1856_,2.96µm
_1927_,2.96µm
_1944_,2.96µm
_2372_,2.96µm
_2518_,2.96µm
_2559_,2.96µm
_3117_,2.96µm
_3127_,2.96µm
_3138_,2.96µm
_3226_,2.96µm
_3227_,2.96µm
_3349_,2.96µm
_3490_,2.96µm
_3561_,2.96µm
_3610_,2.96µm
_3685_,2.96µm
_3759_,2.96µm
_3975_,2.96µm
_4018_,2.96µm
_4021_,2.96µm
_4121_,2.96µm
_4193_,2.96µm
_4395_,2.96µm
net550,2.96µm
net554,2.96µm
net566,2.96µm
net915,2.96µm
net941,2.96µm
net957,2.96µm
net963,2.96µm
net990,2.96µm
net1118,2.96µm
net1154,2.96µm
_1958_,2.955µm
_2962_,2.955µm
_3498_,2.89µm
_0857_,2.88µm
_0051_,2.86µm
_0536_,2.86µm
_0691_,2.86µm
_3917_,2.86µm
_4031_,2.845µm
_0218_,2.84µm
_0249_,2.84µm
_0739_,2.84µm
_0849_,2.84µm
_1296_,2.84µm
_1574_,2.84µm
_1605_,2.84µm
_1792_,2.84µm
_2512_,2.84µm
_2839_,2.84µm
_3064_,2.84µm
_3110_,2.84µm
_3270_,2.84µm
_3645_,2.84µm
_3902_,2.84µm
_3949_,2.84µm
_4001_,2.84µm
net1061,2.84µm
_2229_,2.77µm
_0030_,2.765µm
_0204_,2.76µm
_0621_,2.76µm
_1592_,2.76µm
_2092_,2.76µm
_2109_,2.76µm
_2191_,2.76µm
_2384_,2.76µm
_3016_,2.76µm
_3034_,2.76µm
_3634_,2.76µm
_4191_,2.76µm
_0007_,2.74µm
_0009_,2.74µm
_0013_,2.74µm
_0065_,2.74µm
_0067_,2.74µm
_0076_,2.74µm
_0083_,2.74µm
_0090_,2.74µm
_0103_,2.74µm
_0104_,2.74µm
_0124_,2.74µm
_0200_,2.74µm
_0202_,2.74µm
_0203_,2.74µm
_0228_,2.74µm
_0303_,2.74µm
_0325_,2.74µm
_0920_,2.74µm
_1822_,2.74µm
_3540_,2.74µm
_3819_,2.74µm
_0965_,2.725µm
_0370_,2.72µm
_1102_,2.72µm
_1560_,2.72µm
_1699_,2.72µm
_1713_,2.72µm
_1801_,2.72µm
_1908_,2.72µm
_1923_,2.72µm
_1942_,2.72µm
_2261_,2.72µm
_2442_,2.72µm
_3406_,2.72µm
_3588_,2.72µm
_3714_,2.72µm
_3828_,2.72µm
_4179_,2.72µm
_4199_,2.72µm
net435,2.72µm
_0579_,2.68µm
_0048_,2.64µm
_0085_,2.64µm
_0143_,2.64µm
_0149_,2.64µm
_0160_,2.64µm
_0212_,2.64µm
_0288_,2.64µm
_0300_,2.64µm
_0365_,2.64µm
_0368_,2.64µm
_0820_,2.64µm
_1210_,2.64µm
_1317_,2.64µm
_1567_,2.64µm
_1582_,2.64µm
_2293_,2.64µm
_2687_,2.64µm
_2802_,2.64µm
_3273_,2.64µm
_3459_,2.64µm
_3539_,2.64µm
_4164_,2.64µm
net662,2.64µm
_0058_,2.62µm
_0115_,2.62µm
_0121_,2.62µm
_0173_,2.62µm
_0214_,2.62µm
_0222_,2.62µm
_0235_,2.62µm
_0266_,2.62µm
_0294_,2.62µm
_0328_,2.62µm
_0341_,2.62µm
_0393_,2.62µm
_0773_,2.62µm
_0892_,2.62µm
_1124_,2.62µm
_1252_,2.62µm
_1469_,2.62µm
_1534_,2.62µm
_1786_,2.62µm
_2144_,2.62µm
_2201_,2.62µm
_2207_,2.62µm
_2215_,2.62µm
_2260_,2.62µm
_2298_,2.62µm
_2395_,2.62µm
_2437_,2.62µm
_2485_,2.62µm
_2498_,2.62µm
_2505_,2.62µm
_2656_,2.62µm
_2662_,2.62µm
_3133_,2.62µm
_3135_,2.62µm
_3156_,2.62µm
_3202_,2.62µm
_3283_,2.62µm
_3304_,2.62µm
_3343_,2.62µm
_3470_,2.62µm
_3871_,2.62µm
_4137_,2.62µm
_4267_,2.62µm
data_reg\[12\]\[7\],2.62µm
net415,2.62µm
net536,2.62µm
net607,2.62µm
net999,2.62µm
net1067,2.62µm
net1129,2.62µm
_2042_,2.615µm
_4328_,2.59µm
_0334_,2.53µm
_4370_,2.53µm
_4377_,2.53µm
_4380_,2.53µm
_4432_,2.53µm
_4456_,2.53µm
_0492_,2.52µm
_0869_,2.52µm
_1722_,2.52µm
_1809_,2.52µm
_3376_,2.52µm
_3883_,2.52µm
_4244_,2.52µm
_4368_,2.52µm
_4397_,2.52µm
_4464_,2.52µm
_4466_,2.52µm
_2644_,2.505µm
_0511_,2.5µm
_0561_,2.5µm
_0856_,2.5µm
_0863_,2.5µm
_0867_,2.5µm
_0877_,2.5µm
_0943_,2.5µm
_0958_,2.5µm
_1080_,2.5µm
_1211_,2.5µm
_1380_,2.5µm
_1383_,2.5µm
_1396_,2.5µm
_1475_,2.5µm
_1623_,2.5µm
_1689_,2.5µm
_1698_,2.5µm
_1704_,2.5µm
_1759_,2.5µm
_1922_,2.5µm
_2105_,2.5µm
_2238_,2.5µm
_2251_,2.5µm
_2301_,2.5µm
_2484_,2.5µm
_2630_,2.5µm
_2774_,2.5µm
_2852_,2.5µm
_2943_,2.5µm
_2977_,2.5µm
_2992_,2.5µm
_3008_,2.5µm
_3011_,2.5µm
_3029_,2.5µm
_3030_,2.5µm
_3085_,2.5µm
_3102_,2.5µm
_3129_,2.5µm
_3149_,2.5µm
_3171_,2.5µm
_3172_,2.5µm
_3328_,2.5µm
_3379_,2.5µm
_3491_,2.5µm
_3513_,2.5µm
_3847_,2.5µm
_3994_,2.5µm
_4068_,2.5µm
_4198_,2.5µm
_4273_,2.5µm
_4422_,2.5µm
net521,2.5µm
net526,2.5µm
net582,2.5µm
_3637_,2.495µm
_1907_,2.45µm
_0460_,2.4µm
_1679_,2.4µm
_3756_,2.4µm
_1162_,2.39µm
_0292_,2.38µm
_0756_,2.38µm
_0977_,2.38µm
_1154_,2.38µm
_1294_,2.38µm
_1415_,2.38µm
_1772_,2.38µm
_1862_,2.38µm
_1871_,2.38µm
_1873_,2.38µm
_1883_,2.38µm
_1934_,2.38µm
_2007_,2.38µm
_2122_,2.38µm
_2297_,2.38µm
_2326_,2.38µm
_2337_,2.38µm
_2371_,2.38µm
_2422_,2.38µm
_2501_,2.38µm
_2570_,2.38µm
_2831_,2.38µm
_2928_,2.38µm
_2998_,2.38µm
_3183_,2.38µm
_3189_,2.38µm
_3224_,2.38µm
_3252_,2.38µm
_3268_,2.38µm
_3336_,2.38µm
_3384_,2.38µm
_3395_,2.38µm
_3404_,2.38µm
_3467_,2.38µm
_3531_,2.38µm
_3617_,2.38µm
_3693_,2.38µm
_3701_,2.38µm
_3816_,2.38µm
_4188_,2.38µm
_4197_,2.38µm
_1382_,2.36µm
_1543_,2.33µm
_3104_,2.315µm
_0018_,2.305µm
_0134_,2.305µm
_0361_,2.3µm
_0372_,2.3µm
_0712_,2.3µm
_1334_,2.3µm
_1604_,2.3µm
_1613_,2.3µm
_2338_,2.3µm
_2613_,2.3µm
_3002_,2.3µm
_3046_,2.3µm
_4032_,2.3µm
_4126_,2.3µm
_4128_,2.3µm
_0001_,2.28µm
_0002_,2.28µm
_0006_,2.28µm
_0019_,2.28µm
_0027_,2.28µm
_0034_,2.28µm
_0057_,2.28µm
_0086_,2.28µm
_0099_,2.28µm
_0110_,2.28µm
_0128_,2.28µm
_0137_,2.28µm
_0191_,2.28µm
_0193_,2.28µm
_0195_,2.28µm
_0197_,2.28µm
_0216_,2.28µm
_0220_,2.28µm
_0229_,2.28µm
_0243_,2.28µm
_0244_,2.28µm
_0309_,2.28µm
_0866_,2.28µm
_0988_,2.28µm
_1368_,2.28µm
_3017_,2.28µm
_3028_,2.28µm
_3050_,2.28µm
_3249_,2.28µm
_3950_,2.28µm
_4080_,2.28µm
_4205_,2.28µm
_2667_,2.27µm
_0864_,2.255µm
_2290_,2.21µm
_3282_,2.21µm
_4417_,2.21µm
_4434_,2.21µm
_0005_,2.18µm
_0080_,2.18µm
_0093_,2.18µm
_0097_,2.18µm
_0098_,2.18µm
_0118_,2.18µm
_0125_,2.18µm
_0152_,2.18µm
_0154_,2.18µm
_0186_,2.18µm
_0223_,2.18µm
_0224_,2.18µm
_0233_,2.18µm
_0234_,2.18µm
_0250_,2.18µm
_0276_,2.18µm
_0282_,2.18µm
_0284_,2.18µm
_0298_,2.18µm
_0313_,2.18µm
_0321_,2.18µm
_0324_,2.18µm
_1395_,2.18µm
_1464_,2.18µm
_2963_,2.18µm
_3415_,2.18µm
_3446_,2.18µm
_3546_,2.18µm
_3703_,2.18µm
_3768_,2.18µm
_3801_,2.17µm
_3280_,2.165µm
_0000_,2.16µm
_0120_,2.16µm
_0157_,2.16µm
_0170_,2.16µm
_0188_,2.16µm
_0194_,2.16µm
_0231_,2.16µm
_0242_,2.16µm
_0252_,2.16µm
_0406_,2.16µm
_0435_,2.16µm
_0506_,2.16µm
_0635_,2.16µm
_0658_,2.16µm
_0797_,2.16µm
_0875_,2.16µm
_0910_,2.16µm
_0957_,2.16µm
_0976_,2.16µm
_1034_,2.16µm
_1046_,2.16µm
_1051_,2.16µm
_1193_,2.16µm
_1242_,2.16µm
_1266_,2.16µm
_1348_,2.16µm
_1374_,2.16µm
_1438_,2.16µm
_1532_,2.16µm
_1588_,2.16µm
_1590_,2.16µm
_1765_,2.16µm
_1791_,2.16µm
_1799_,2.16µm
_1821_,2.16µm
_1852_,2.16µm
_1861_,2.16µm
_1875_,2.16µm
_1882_,2.16µm
_2052_,2.16µm
_2233_,2.16µm
_2445_,2.16µm
_2495_,2.16µm
_2637_,2.16µm
_2707_,2.16µm
_2732_,2.16µm
_2844_,2.16µm
_2893_,2.16µm
_2971_,2.16µm
_3070_,2.16µm
_3178_,2.16µm
_3181_,2.16µm
_3192_,2.16µm
_3248_,2.16µm
_3284_,2.16µm
_3347_,2.16µm
_3368_,2.16µm
_3399_,2.16µm
_3402_,2.16µm
_3436_,2.16µm
_3545_,2.16µm
_3547_,2.16µm
_3644_,2.16µm
_3708_,2.16µm
_3778_,2.16µm
_3784_,2.16µm
_3938_,2.16µm
_3943_,2.16µm
_4051_,2.16µm
_4127_,2.16µm
_4483_,2.16µm
_4498_,2.16µm
net218,2.16µm
net475,2.16µm
net538,2.16µm
net1259,2.16µm
_2262_,2.14µm
_0479_,2.06µm
_0486_,2.06µm
_0616_,2.06µm
_3725_,2.06µm
_4078_,2.06µm
net663,2.06µm
_0056_,2.04µm
_0211_,2.04µm
_0525_,2.04µm
_0526_,2.04µm
_0624_,2.04µm
_0697_,2.04µm
_0808_,2.04µm
_0882_,2.04µm
_0884_,2.04µm
_0907_,2.04µm
_0937_,2.04µm
_0989_,2.04µm
_1003_,2.04µm
_1145_,2.04µm
_1148_,2.04µm
_1180_,2.04µm
_1189_,2.04µm
_1192_,2.04µm
_1209_,2.04µm
_1362_,2.04µm
_1397_,2.04µm
_1405_,2.04µm
_1531_,2.04µm
_1559_,2.04µm
_1690_,2.04µm
_1731_,2.04µm
_1738_,2.04µm
_1955_,2.04µm
_2060_,2.04µm
_2115_,2.04µm
_2231_,2.04µm
_2382_,2.04µm
_2668_,2.04µm
_2697_,2.04µm
_2699_,2.04µm
_2763_,2.04µm
_2861_,2.04µm
_2954_,2.04µm
_3131_,2.04µm
_3148_,2.04µm
_3222_,2.04µm
_3232_,2.04µm
_3265_,2.04µm
_3292_,2.04µm
_3300_,2.04µm
_3312_,2.04µm
_3333_,2.04µm
_3416_,2.04µm
_3439_,2.04µm
_3466_,2.04µm
_3482_,2.04µm
_3555_,2.04µm
_3583_,2.04µm
_3619_,2.04µm
_3633_,2.04µm
_3709_,2.04µm
_3736_,2.04µm
_3772_,2.04µm
_3785_,2.04µm
_3825_,2.04µm
_3851_,2.04µm
_3935_,2.04µm
_4006_,2.04µm
_4107_,2.04µm
_4172_,2.04µm
_4184_,2.04µm
net605,2.04µm
_0927_,1.95µm
_1330_,1.94µm
_1453_,1.94µm
net569,1.94µm
_4364_,1.915µm
_0260_,1.845µm
_0311_,1.845µm
_0789_,1.84µm
_1016_,1.84µm
_1303_,1.84µm
_1364_,1.84µm
_1413_,1.84µm
_1523_,1.84µm
_1729_,1.84µm
_2071_,1.84µm
_2735_,1.84µm
_2741_,1.84µm
_2767_,1.84µm
_2867_,1.84µm
_2944_,1.84µm
_3392_,1.84µm
_3421_,1.84µm
_3940_,1.84µm
_3998_,1.84µm
_4052_,1.84µm
_0024_,1.82µm
_0049_,1.82µm
_0063_,1.82µm
_0100_,1.82µm
_0117_,1.82µm
_0123_,1.82µm
_0127_,1.82µm
_0183_,1.82µm
_0198_,1.82µm
_0213_,1.82µm
_0318_,1.82µm
_1390_,1.82µm
_1902_,1.82µm
_2175_,1.82µm
_2387_,1.82µm
_3591_,1.82µm
_1903_,1.8µm
_1350_,1.755µm
_1915_,1.75µm
_4157_,1.75µm
_4232_,1.75µm
_4317_,1.75µm
_4362_,1.75µm
_4470_,1.75µm
_0050_,1.745µm
_0146_,1.745µm
_0696_,1.72µm
_2304_,1.72µm
_3147_,1.72µm
_3366_,1.72µm
_3442_,1.72µm
_3614_,1.72µm
_3910_,1.72µm
_1410_,1.71µm
_0236_,1.7µm
_0320_,1.7µm
_0326_,1.7µm
_0469_,1.7µm
_0787_,1.7µm
_1026_,1.7µm
_1029_,1.7µm
_1099_,1.7µm
_1136_,1.7µm
_1228_,1.7µm
_1311_,1.7µm
_1353_,1.7µm
_1603_,1.7µm
_1762_,1.7µm
_1837_,1.7µm
_1838_,1.7µm
_1881_,1.7µm
_1901_,1.7µm
_1939_,1.7µm
_2000_,1.7µm
_2080_,1.7µm
_2110_,1.7µm
_2139_,1.7µm
_2270_,1.7µm
_2310_,1.7µm
_2324_,1.7µm
_2460_,1.7µm
_2810_,1.7µm
_3057_,1.7µm
_3074_,1.7µm
_3100_,1.7µm
_3168_,1.7µm
_3218_,1.7µm
_3453_,1.7µm
_3493_,1.7µm
_3578_,1.7µm
_3663_,1.7µm
_3751_,1.7µm
_3856_,1.7µm
_3933_,1.7µm
_4036_,1.7µm
_4495_,1.7µm
_4501_,1.7µm
net229,1.7µm
net485,1.7µm
net497,1.7µm
net603,1.7µm
net823,1.7µm
net1225,1.7µm
_0353_,1.61µm
_2334_,1.6µm
_2990_,1.6µm
net113,1.6µm
net447,1.6µm
net580,1.6µm
_0109_,1.545µm
_0283_,1.545µm
_0636_,1.48µm
_1985_,1.48µm
net1124,1.48µm
_0420_,1.38µm
_1010_,1.38µm
_1222_,1.38µm
_1411_,1.38µm
_1482_,1.38µm
_1940_,1.38µm
_2088_,1.38µm
_2214_,1.38µm
_2322_,1.38µm
_2400_,1.38µm
_2636_,1.38µm
_2972_,1.38µm
_3043_,1.38µm
_3209_,1.38µm
_3219_,1.38µm
_3264_,1.38µm
_3318_,1.38µm
_3568_,1.38µm
_3665_,1.38µm
_3790_,1.38µm
_3835_,1.38µm
_4002_,1.38µm
_4183_,1.38µm
_0017_,1.36µm
_0130_,1.36µm
_0225_,1.36µm
_0241_,1.36µm
_0259_,1.36µm
_0314_,1.36µm
_1527_,1.36µm
_2719_,1.36µm
_3244_,1.36µm
_2329_,1.31µm
_0865_,1.265µm
_1455_,1.26µm
_3510_,1.26µm
_3595_,1.26µm
_3814_,1.14µm
net226,1.14µm
net1105,1.02µm
_0403_,0.92µm
_0574_,0.92µm
_0586_,0.92µm
_0795_,0.92µm
_0984_,0.92µm
_1008_,0.92µm
_1253_,0.92µm
_1262_,0.92µm
_1349_,0.92µm
_1366_,0.92µm
_1503_,0.92µm
_1515_,0.92µm
_1575_,0.92µm
_1577_,0.92µm
_1606_,0.92µm
_1697_,0.92µm
_1895_,0.92µm
_2085_,0.92µm
_2235_,0.92µm
_2249_,0.92µm
_2281_,0.92µm
_2340_,0.92µm
_2368_,0.92µm
_2394_,0.92µm
_2640_,0.92µm
_2677_,0.92µm
_2685_,0.92µm
_2740_,0.92µm
_2744_,0.92µm
_2760_,0.92µm
_2818_,0.92µm
_2824_,0.92µm
_2927_,0.92µm
_3026_,0.92µm
_3052_,0.92µm
_3066_,0.92µm
_3097_,0.92µm
_3136_,0.92µm
_3254_,0.92µm
_3388_,0.92µm
_3419_,0.92µm
_3426_,0.92µm
_3478_,0.92µm
_3515_,0.92µm
_3525_,0.92µm
_3575_,0.92µm
_3602_,0.92µm
_3606_,0.92µm
_3889_,0.92µm
_3965_,0.92µm
_4025_,0.92µm
_4189_,0.92µm
net1030,0.92µm
net1056,0.92µm
_1130_,0.83µm
_1104_,0.46µm
_1204_,0.46µm
_1558_,0.46µm
_2650_,0.46µm
_3543_,0.46µm
_4175_,0.46µm
net913,0.46µm
